Party and Electorate Candidate Votes Recorded at each Voting Place
Hutt South 14,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
,"Wainuiomata Primary School, 1 Homedale Road",15,4,0,21,0,192,2,52,2,7,0,2,0,0,0,6,0,303,2
,"Wainuiomata War Memorial Hall, 1 Queen Street",144,39,7,179,0,2641,21,525,63,115,0,20,1,6,0,49,6,3816,39
Waiwhetu,"Waiwhetu Marae Meeting House, 21 Puketapu Grove",10,1,0,56,0,235,0,40,6,4,0,2,0,1,0,9,1,365,2
Waterloo,"Waterloo School, 26 Hardy Street",36,2,0,54,0,366,1,174,8,16,1,2,0,1,1,16,0,678,3
Wellington City,"Asteron Centre Foyer, 55 Featherston Street",40,1,1,93,0,306,1,125,7,6,0,2,0,2,0,22,0,606,3
,"Pop Up Voting Place, Dukes Arcade, 105 Willis Street",8,1,0,49,0,74,2,42,2,0,0,0,0,0,0,5,0,183,0
,"Te Puni Kōkiri House, Nau Mai Room, 143 Lambton Quay",22,0,0,42,0,137,2,38,4,4,0,0,0,1,0,12,0,262,0
,"Wellington Museum Von Kohorn Room, Queens Wharf, 3 Jervois Quay",12,0,1,14,0,26,3,8,2,1,0,0,0,0,0,3,0,70,0
Woburn,"Hutt Valley High School, 84-114 Woburn Road",23,0,0,15,0,95,1,84,2,2,0,1,0,0,0,7,0,230,0
,Rest Homes Team - Hutt South,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,13,0

Voting Places
Alicetown,"Hutt Central School, 6 Railway Avenue",24,2,0,15,0,149,2,68,3,14,1,1,0,0,0,6,0,285,1
Avalon,"Avalon School Hall, 10 Gordon Street",1,0,0,1,0,10,0,5,0,0,0,0,0,0,0,0,0,17,1
,"Naenae College Hall, 910 High Street",1,0,0,4,0,9,1,1,0,1,0,0,0,1,0,0,0,18,1
Belmont,"Belmont Hall, 711 Western Hutt Road",40,1,3,28,0,140,1,106,7,9,0,3,0,0,0,10,0,348,0
Boulcott,"Boulcott School, 21 Boulcott Street",23,0,1,13,0,123,0,87,2,5,0,0,0,0,1,8,0,263,4
,"Knox Presbyterian Church Hall, 574 High Street",8,1,0,16,0,93,0,78,5,7,0,3,0,0,0,2,0,213,0
Days Bay,"Wellesley College, 611A Marine Drive",30,1,0,28,0,124,0,76,0,3,0,0,0,0,0,6,0,268,0
Eastbourne,"Muritai School, 166 Muritai Road",33,2,1,70,0,218,3,107,0,11,2,0,0,0,0,16,0,463,1
Epuni,"Congregational Christian Church Hall of Samoa, 37 Mitchell Street",3,0,0,6,0,85,1,39,3,5,0,0,0,0,0,4,0,146,3
,"Dyer Street School, 9 Dyer Street",10,1,0,15,0,57,0,31,1,1,0,2,0,0,0,4,0,122,0
,"Epuni School Hall, 313 Waiwhetu Road",26,0,1,37,0,184,2,73,6,10,0,4,0,0,0,13,0,356,3
Gracefield,"Gracefield School, 20A Bell Road",13,3,1,14,0,122,1,48,5,5,0,2,0,0,0,7,0,221,2
Hutt Central,"St James Anglican Church Hall, 71 Woburn Road",12,0,0,19,0,75,5,38,1,4,1,0,0,0,0,3,0,158,0
