Party and Electorate Candidate Votes Recorded at each Voting Place
Mt Roskill 25,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
,"Onehunga Primary School Hall, 122 Arthur Street",0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,8,0
Ōwairaka,"Owairaka District School Hall, 113 Richardson Road",1,0,0,0,0,17,0,6,0,1,1,0,0,0,1,0,0,27,0
Royal Oak,"Royal Oak Intermediate School Hall, 74 Symonds Street (Trafalgar Street entrance)",2,0,0,0,0,19,0,3,0,0,0,0,0,0,0,1,0,25,0
,"Royal Oak Primary School Hall, Chandler Avenue (663 Manukau Road entrance)",0,0,0,1,0,10,0,4,1,0,0,0,0,0,0,0,0,16,0
Sandringham,"Christian Family Church Hall, 631 Sandringham Road",7,1,0,9,0,30,0,21,0,2,0,0,0,0,0,1,0,71,0
,"Edendale Primary School Hall, 419 Sandringham Road",2,0,0,6,0,21,0,7,0,1,0,1,0,0,0,0,0,38,0
,"Sandringham Community Centre, 18-20 Kitchener Road",0,0,0,6,0,41,0,12,0,0,0,0,0,0,1,3,0,63,0
Three Kings,"Fickling Convention Centre, Hillsborough Room, 546 Mt Albert Road",16,1,1,33,1,222,5,105,5,7,0,1,0,0,1,8,1,407,0
,"Three Kings School, 944 Mt Eden Road",23,3,0,27,0,127,1,97,0,3,0,0,0,0,0,2,0,283,0

,Overseas Special Votes Including Defence Force - Mt Roskill,23,5,4,166,0,524,0,151,7,9,0,2,0,1,3,15,0,910,1
,Overseas Votes Allowed for Party Only - Mt Roskill,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0
,Special Votes BEFORE Polling Day - Mt Roskill,154,33,16,350,0,2526,21,818,52,53,2,13,1,4,17,56,4,4120,37
,Special Votes ON Polling Day - Mt Roskill,87,29,12,166,1,1303,17,427,33,33,0,9,1,1,9,34,4,2166,18
,Votes Allowed for Party Only - Mt Roskill,13,2,2,17,0,180,4,45,1,10,0,4,0,0,3,3,0,284,6
,Voting places where less than 6 votes were taken,0,0,0,2,0,3,0,4,0,0,0,0,0,0,0,1,0,10,0

,Mt Roskill Total,1904,198,68,3060,3,21436,142,9328,459,731,13,103,18,18,163,499,19,38162,321

,Valid Party Votes plus Informal Party Votes,,38483

Electorate Party Valid Votes,,,Labour Party - 56.17%
ACT New Zealand,1904,4.99
Advance NZ,198,0.52
Aotearoa Legalise Cannabis Party,68,0.18
Green Party,3060,8.02
HeartlandNZ,3,0.01
Labour Party,21436,56.17
Māori Party,142,0.37
National Party,9328,24.44
New Conservative,459,1.20
New Zealand First Party,731,1.92
NZ Outdoors Party,13,0.03
ONE Party,103,0.27
Social Credit,18,0.05
Sustainable New Zealand Party,18,0.05
TEA Party,163,0.43
The Opportunities Party (TOP),499,1.31
Vision New Zealand,19,0.05
