Party and Electorate Candidate Votes Recorded at each Voting Place
Ikaroa-Rāwhiti 67,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
East Coast
Omahu,"Omahu School, 22 Taihape Road",0,1,3,1,0,32,8,0,0,5,0,0,0,0,0,0,0,50,3
Ōtāne,"Otane Hall, 27 Higginson Street",0,0,0,0,0,26,8,0,0,0,0,0,0,0,0,1,1,36,0
Pakipaki,"Pakipaki School, 314 Pakipaki Road",1,0,2,2,0,19,8,1,0,0,0,0,0,0,0,0,0,33,0
Pakowhai,"Pakowhai School, 25 Chesterhope Road",0,0,0,1,0,4,2,0,0,1,0,0,0,0,0,0,0,8,0
Parkvale,"Gordon Black Hall, 912 Queen Street East",0,0,0,1,0,9,1,0,0,0,0,0,0,0,0,0,1,12,0
Poukawa,"Poukawa School, 107 Poukawa Road",0,0,0,1,0,17,2,1,0,2,0,0,0,0,0,0,0,23,2
Pukehou,"Pukehou School, 174 State Highway 2",0,0,0,1,0,9,6,0,0,1,0,0,0,0,0,0,0,17,0
Raureka,"Ebbett Park School Hall, 600 Oliphant Road",0,0,0,4,0,32,3,0,0,0,0,0,0,0,0,1,0,40,1
,"Raureka School Hall, 916 Gordon Road",0,1,0,2,0,35,7,1,1,1,0,0,0,0,0,0,1,49,0
Te Awanga,"Te Awanga Community Centre, 9 Wellwood Terrace",1,0,0,0,0,13,1,0,0,0,0,0,0,0,0,1,0,16,0
Tikokino,"Tikokino School, 43 Owen Street",0,1,0,0,0,3,0,1,0,2,0,0,1,0,0,0,0,8,1
Twyford,"Twyford/Raupare Memorial Hall, Thompson Road (next to Twyford School)",0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0
Waimarama,"Waimarama School, 27 Taupunga Road",0,0,1,3,0,20,5,1,0,1,0,0,0,0,0,0,0,31,0
Wairarapa
Carterton,"Carterton Playcentre (access from Howard Booth Park carpark), 188 Belvedere Road",0,0,0,1,0,6,0,1,0,0,0,0,0,0,1,0,0,9,0
,"Carterton School Hall, Corner Holloway & Dixon Streets",0,0,1,1,0,8,1,1,0,0,0,0,0,0,0,0,0,12,0
,"South End School Hall, 275 High Street South",0,0,0,1,0,13,2,0,0,0,0,0,0,0,0,0,0,16,0
Dannevirke,"Dannevirke South School Hall, Corner Stairs & Hunter Streets",0,0,0,1,0,7,1,1,0,0,0,0,0,0,0,0,0,10,0
,"The Hub (access from Allardice Street carpark), 23 Gordon Street",1,1,0,5,0,45,9,3,3,4,0,0,0,0,0,0,0,71,2
Eketāhuna,"Eketāhuna Community Centre, 4 Haswell Street",1,1,0,0,0,5,1,0,0,3,0,0,0,0,0,0,0,11,0
Featherston,"Featherston School Hall, Corner Lyons & Revans Streets",1,2,1,1,0,17,1,1,0,2,0,0,0,0,0,0,0,26,0
Gladstone,"Gladstone School Hall, Te Whiti Road",0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,8,0
Greytown,"Greytown School Hall, 73 East Street",0,1,0,1,0,6,3,0,0,0,0,0,0,0,0,0,0,11,0
,"Kuranui College Student Centre, Bidwells Cutting Road",1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,7,0
Martinborough,"Saint Andrew's Church Hall, 41 Dublin Street",0,0,0,0,0,13,1,1,0,1,0,0,0,0,0,0,0,16,0
Masterton,"38 Queen Street, between ASB and the Library, 38 Queen Street",0,0,0,1,0,13,4,1,0,1,1,1,0,0,0,0,0,22,0
,"Douglas Park School Hall, 136 Cole Street",0,1,0,2,0,13,2,0,0,1,0,0,0,0,0,0,0,19,0
,"Fernridge School Hall, 264 Upper Plain Road",0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,6,0
,"IDEA Services (IHC Centre), 46 Bentley Street",0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,0,6,0
,"Lakeview School Hall, Corner Te Ore Ore & Colombo Roads",2,1,0,3,0,26,0,1,0,3,0,1,0,0,0,0,0,37,0
,"Masterton Intermediate School Hall, 38 Intermediate Street",1,1,0,0,0,19,4,1,0,3,0,3,0,0,0,0,0,32,0
,"Senior Citizens Hall, Perry Street",0,0,0,2,0,8,2,1,0,0,0,0,0,0,0,0,0,13,1
,"Solway School Hall, 318 Ngaumutawa Road",0,1,0,1,0,12,1,2,0,0,0,0,0,0,0,1,0,18,0
,"Te Kura Kaupapa Māori o Wairarapa Hall, 37 Johnstone Street",0,0,2,1,0,22,9,0,0,3,0,0,0,0,0,0,1,38,1
,"War Memorial Stadium Foyer, Recreation Centre, 2 Dixon Street",2,1,1,1,0,15,6,5,0,1,0,1,0,0,0,1,0,34,2
Norsewood,"Norsewood School Staffroom, Coronation Street",0,0,1,2,0,3,3,0,0,2,0,0,0,0,0,0,0,11,0
